20231127	14:35:59	cc40e724-b75d-46f6-be65-62f8f53aa7c3	GET	 undefined	/new-page.html
20231127	14:35:59	612e50fc-9314-4a04-9860-de527daddc22	GET	 undefined	/css/style.css
20231127	14:35:59	efa2252b-1883-481d-8dc3-f1d937a13af9	GET	 undefined	/img/img1.jpg
20231127	14:40:12	ca2cec52-2712-471e-bff4-afa96c2db58f	GET	 undefined	/
20231127	14:40:12	b1c14071-09f0-45ac-8c48-af5a95cfcfd1	GET	 undefined	/css/style.css
20231127	14:46:19	acfe6d8b-cd5a-4bb4-afd2-c8e365fc3370	OPTIONS	 https://www.google.co.in	/
20231127	14:46:19	cb4bf572-941d-473a-90ca-c5055f389b25	GET	 https://www.google.co.in	/
20231127	14:56:03	1d5a9b2e-1ba4-4ccb-b6d5-ce3798eccf7a	OPTIONS	 https://www.google.co.in	/
20231127	14:56:03	3cd8f37f-47ca-4304-8f38-01bfc4a14210	GET	 https://www.google.co.in	/
20231127	14:58:14	0d9d4dd5-d200-47ea-8849-7e333f5839bb	OPTIONS	 https://www.google.co.in	/
20231127	14:58:14	73ef9fff-14df-45bd-b0a7-50c5a0c89aa2	GET	 https://www.google.co.in	/
20231127	14:58:41	e102faf6-7303-45c6-9c0b-e789378b3f37	OPTIONS	 https://www.google.co.in	/
20231127	14:58:41	965e409e-994e-45ce-98cd-7f6dd8b289e6	GET	 https://www.google.co.in	/
20231127	15:01:15	76d3e350-c4a7-4386-afbc-061ed1a84993	GET	 undefined	/
20231127	15:02:32	a1db0392-1af4-41c3-8c5b-a9341acec99e	GET	 undefined	/
20231127	15:03:05	9639c481-5dd0-47cc-83b9-36e628a30c26	GET	 undefined	/
20231127	15:03:05	77f104ec-1010-426d-8d7e-a4dd5761771f	GET	 undefined	/css/style.css
20231127	15:08:58	efb2b85c-7f9e-40d6-a1dd-f812e655f603	GET	 undefined	/
20231127	15:09:13	91429125-d4fa-4320-a570-fb52faa112e8	GET	 undefined	/
20231127	15:09:13	cdb0a862-2760-42ca-b7ab-3ab2bce387ba	GET	 undefined	/css/style.css
20231127	15:09:16	9566b27f-3843-4905-bfd9-d158d4686c20	GET	 undefined	/
20231127	15:09:16	a58f11ec-7e1e-41ac-a3d4-4863db2a39d7	GET	 undefined	/css/style.css
20231127	15:32:14	6fb2464c-b184-4f25-b0dd-5449a65389c1	GET	 undefined	/subdir
20231127	15:32:20	168db0cd-6989-4ef4-8f00-d2375b68bdb9	GET	 undefined	/subdir/test
20231127	15:32:27	4d5f9d48-15f5-4e7c-a716-d151802e931d	GET	 undefined	/subdir/index
20231127	15:33:54	55471f8c-3d34-418d-8816-b03dbff6033b	GET	 undefined	/subdir/inde
20231127	15:33:54	c234cdf4-1295-4b6d-8d3e-33241263c9d2	GET	 undefined	/subdir/css/style.css
20231127	15:34:00	205a587f-561e-4289-b67c-151c6a1be1d8	GET	 undefined	/ind
